"section","quantity_or_order_code","item_or_value","selection_or_role","qualification"
"1. Main electronics and external assemblies","1","Processor","Teyleten Robot ESP32S3SuperMini, Amazon B0D47HBFDY, three-pack","User-supplied exact listing; selected for prototype qualification. Listing close-up shows ESP32-S3FH4R2: 4 MB flash / 2 MB PSRAM, NOT the previous 16/8 target. Photos show two nine-pin THT rows and included male headers; onboard antenna. One three-pack supplies three kits. Confirm actual chip identity, PSRAM initialization, header measurements and power schematic on received boards."
"1. Main electronics and external assemblies","Included","Wireless antenna","Processor board's onboard antenna","No separate Seeed antenna or antenna purchase. Keep clearance around the actual antenna location."
"1. Main electronics and external assemblies","1","GPIO expander","Microchip MCP23017-E/SP","28-pin narrow DIP, student THT. This replaces the smaller eight-bit expander shortlist."
"1. Main electronics and external assemblies","1","Display","XIITIA Amazon B0DFWL25RB","Retain user's 1.69-inch 240 × 280 SPI screen. An ASIN is a seller identity, not a controlled manufacturer revision: inspect delivered pinout and backlight circuitry."
"1. Main electronics and external assemblies","9","Soft switches","Adafruit 3101, pack of ten","Actual elastomer soft-action THT switches, approximately 7.8 × 7.8 × 4.9 mm. One pack gives nine controls plus one spare. Operating force is not specified; sample before freezing the footprint/cap travel."
"1. Main electronics and external assemblies","1","Main-board converter","Selection reopened after processor change","The $9.95 Pololu S7V8F5 / 2123 is only a documented comparison, not an active kit purchase. Seek lower-cost fixed-output buck-boost module with THT pins, documented input range/current and suitable power-off behavior. Output voltage depends on the exact SuperMini supply circuit."
"1. Main electronics and external assemblies","1","Audio amplifier","UTC TDA2822L-D08-T, LCSC C73295","DIP-8 THT. Proposed mono bridge configuration with PWM filtering, attenuation and switched supply. Requires circuit/audio test, not a guaranteed 0.5 W clean output."
"1. Main electronics and external assemblies","1","Small speaker","FUET / Taizhou Fusheng FS1511P08-H3.0, wired version","15 × 11 mm micro-speaker, 8 ohm. Request drawing, thickness, nominal power and sample: listing mixes 0.5 W and 1 W. Advertised price is not a delivered quote."
"1. Main electronics and external assemblies","1","Haptic motor","LEADER LCM0827A3038F, LCSC C2759981","Sample candidate. Manufacturer specification gives 3 V nominal, 2.7–3.3 V operation, 80 mA maximum rated current and 120 mA starting current under its test conditions. Confirm lead-wire version and mechanical drawing; do not substitute contact-pad termination."
"1. Main electronics and external assemblies","1","IR emitter","Vishay TSAL6200","940 nm, 5 mm leaded LED; transistor driver and current limiting required."
"1. Main electronics and external assemblies","1","IR receiver","Vishay TSOP38238","Leaded, demodulating 38 kHz receiver. Supports a defined remote-control/IR-trading protocol; not an arbitrary-frequency IR analyzer."
"1. Main electronics and external assemblies","Schematic-set","NPN drivers/buffers","onsemi KSP2222ABU","TO-92. IR, motor, status conditioning and high-side-switch control. Exact count and drive resistors await schematic."
"1. Main electronics and external assemblies","Schematic-set","PNP high-side switches","onsemi BC32725BU","TO-92. Proposed audio/peripheral/battery-sense switching. Check voltage drop, base drive, off-state leakage and different pin order from KSP2222A."
"1. Main electronics and external assemblies","At least 1","Motor flyback diode","Vishay 1N5819-E3/54","Axial DO-41. Additional protection-diode count depends on the final supply circuit."
"1. Main electronics and external assemblies","1","Main PCB","Custom KK_main_module, revision not assigned","Bare two-layer THT PCB. Trial 50 × 65 mm outline only; final outline, finish, holes and fabrication files do not exist yet."
"2. Sockets, headers and harnesses","2","Nine-way THT female sockets, exact order code pending","Must match the sampled SuperMini, not the withdrawn seven-way XIAO sockets. Include full mated height in the stack.","See report; not production-released"
"2. Sockets, headers and harnesses","2","Nine-way male headers included with sample reference","Verify low-cost supplier includes them; otherwise add exact matching headers. No underside SMD wiring.","See report; not production-released"
"2. Sockets, headers and harnesses","1","On Shore ED281DT","28-pin 7.62 mm row spacing DIP socket for MCP23017; not the wider ED28DT.","See report; not production-released"
"2. Sockets, headers and harnesses","1","On Shore ED08DT","Eight-pin DIP socket for amplifier.","See report; not production-released"
"2. Sockets, headers and harnesses","1","Sullins PPTC081LFBN-RC","Eight-way THT display socket, conditional on measured screen header orientation/stack.","See report; not production-released"
"2. Sockets, headers and harnesses","1","Sullins PPTC041LFBN-RC","Four-way THT regulator socket. The converter includes a male header; do not buy a second one unnecessarily.","See report; not production-released"
"2. Sockets, headers and harnesses","3","JST S2B-PH-K-S(LF)(SN)","Main-board SYS input, speaker and motor connectors. Clearly differentiate electrically incompatible two-pin ports with labeling and harness routing.","See report; not production-released"
"2. Sockets, headers and harnesses","4","JST PHR-2","Two SYS-cable ends, one speaker plug and one motor plug. Battery plug is additional only if not already supplied on the pack.","See report; not production-released"
"2. Sockets, headers and harnesses","8","JST SPH-002T-P0.5S","Contacts for the four housings above. Factory-prepared cables preferred; verify the actual speaker/motor wire gauge fits this contact before crimping.","See report; not production-released"
"2. Sockets, headers and harnesses","1","Samtec TSW-105-07-G-S","Main-board five-pin status header matching the existing power-board header system.","See report; not production-released"
"2. Sockets, headers and harnesses","2 housings","Pololu 1904, ten-pack","1×5 status-cable housings, 2.54 mm. NOT a five-pin JST PH cable.","See report; not production-released"
"2. Sockets, headers and harnesses","5 wires","Pololu 1810, ten-pack","6-inch female/female pre-crimped wires for the prototype status harness. Number both ends; use a shorter controlled harness for the finished enclosure.","See report; not production-released"
"2. Sockets, headers and harnesses","1 harness","Custom SYS cable","24–26 AWG stranded pair, pin 1 SYS_OUT to main VIN and pin 2 GND to GND; length follows placement. PHR-2/contact quantities included above.","See report; not production-released"
"2. Sockets, headers and harnesses","1 harness each","Custom speaker / motor leads","Factory-attached actuator wires plus compatible crimp termination and strain relief. Do not have students solder microscopic actuator pads.","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-4R7","4.7 ohm","Amplifier output stability networks","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-39R","39 ohm","Starting IR-current resistor candidate; recalculate for actual switched rail","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-100R","100 ohm","IR receiver supply filtering candidate","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-220R","220 ohm","Motor transistor drive candidate, subject to expander drive limits","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-680R","680 ohm","IR transistor drive candidate","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-1K","1 kohm","Audio filter/attenuator and switch-drive candidates","See report; not production-released"
