"id","function","whole_kit_quantity","starter_quantity","starter_references","manufacturer","exact_part_or_open_requirement","package","status","local_datasheet","notes"
"B001","CORE","1","1","MOD1","Teyleten Robot candidate","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","2 x 9-pin preassembled module; sample check","User-selected module family; exact revision check","datasheets/esp32-s3.pdf","Assume original user-owned module, not Waveshare. Photographed FH4R2 implies 4 MB flash / 2 MB PSRAM; verify actual boards. Header pinout and power route not yet qualified. Separate power board now authorized; see REVISION_B.md."
"B002","DISPLAY","1","0","","XIITIA","B0DFWL25RB","8-pin SPI display module","User-selected; interface HOLD","","240 x 280 ST7789V2 listing; module-specific circuit/drawing and BLK current behavior missing. Controller datasheet alone is not a module datasheet."
"B003","GPIO","1","1","U1","Microchip","MCP23017-E/SP","SPDIP-28 narrow 7.62 mm","Design baseline","datasheets/mcp23017.pdf","3.3 V I2C; GPA7 and GPB7 OUTPUT ONLY. Reserve these for enables, never buttons."
"B004","CONTROLS","9","9","SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8 SW9","Adafruit","3101","4-lead THT elastomer switch","Design baseline; mechanical check","datasheets/soft-buttons.png","One 10-pack per kit. Listing height 4.9 mm conflicts with drawing 5.5 mm; sample before footprint/caps."
"B005","AUDIO","1","0","","UTC","TDA2822L-D08-T","DIP-8","Design baseline","datasheets/tda2822.pdf","Mono bridge candidate; PWM filtering and attenuation required. Socket, supply gating and output stability networks required."
"B006","SPEAKER","1","0","","FUET / Taizhou Fusheng","FS1511P08-H3.0 wired","15 x 11 mm wired speaker","HOLD drawing and power rating","","8 ohm seller listing; nominal power inconsistent (0.5/1 W). Supplier drawing not recovered; do not call final."
"B007","HAPTIC","1","0","","LEADER","LCM0827A3038F","8 mm coin motor with AWG32 leads","Design baseline; drive qualification","datasheets/motor.pdf","3.0 V nominal; 2.7-3.3 V operating. Body 2.7 mm plus adhesive/foam; 27 mm leads. Starting/stall qualification required."
"B008","HAPTIC_REG","0 on main PCB; TBD power revision","0","","Microchip","MCP1700-3002E/TO","TO-92","Deferred to separate power-board revision; old candidate not selected","datasheets/mcp1700.pdf","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Dedicated 3.0 V motor rail; NOT the ESP32 regulator. Check dropout, real startup/stall current and input/output capacitors."
"B009","IR_TX","1","1","D1","Vishay","TSAL6200","5 mm radial LED","Design baseline","datasheets/tsal6200.pdf","940 nm emitter. Pulse current and eye-safety assessment required; transistor driver and current limiting."
"B010","IR_RX","1","1","U2","Vishay","TSOP38238","3-lead THT receiver","Design baseline","datasheets/tsop382.pdf","38 kHz demodulating receiver. Not a raw broadband receiver. Apply AGC burst/gap rules and rail filtering."
"B011","NPN_DRIVER","TBD total; 1 in starter circuit","1","Q1","onsemi","KSP2222ABU","TO-92","Design baseline; quantity/calculation pending","datasheets/ksp2222a.pdf","IR/motor low-side driver candidates. Calculate base current; do not use absolute maximum as operating rating."
"B012","PNP_SWITCH","TBD","0","","onsemi","BC32725BU","TO-92","Peripheral candidate only","datasheets/bc327.pdf","Audio and sensing power gating; not yet rated as whole-system battery switch. Verify different pin order from NPN."
"B013","FLYBACK","1 minimum","0","","Vishay","1N5819-E3/54","Axial DO-41","Design baseline; total TBD","datasheets/1n5819.pdf","Motor flyback. Any power-path use needs reverse leakage, dropout and current qualification."
"B014","MCU_SOCKET","2","0","","Sullins","PPTC091LFBN-RC","1 x 9 THT; 2.54 mm","Design baseline; SuperMini fit check","datasheets/sullins-female-headers.pdf","Replaces full-size 22-way sockets. Verify delivered header count, pitch, row spacing, tail engagement, underside clearance and antenna keepout."
"B015","MCU_HEADER","2 strips if not factory-fitted","0","","Module supplier","9-pin male strips supplied with selected module","1 x 9; 2.54 mm","Bundle contents / fit verification","","Included module accessory if supplied; do not purchase or count twice. Separate exact header MPN required if absent."
