"block","planned_quantity","manufacturer","exact_part","package","selection_status","local_datasheet","notes"
"CORE","1","Teyleten Robot candidate","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","2 x 9-pin preassembled module; sample check","User-selected module family; exact revision check","datasheets/esp32-s3.pdf","Assume original user-owned module, not Waveshare. Photographed FH4R2 implies 4 MB flash / 2 MB PSRAM; verify actual boards. Header pinout and power route not yet qualified. Separate power board now authorized; see REVISION_B.md."
"DISPLAY","1","XIITIA","B0DFWL25RB","8-pin SPI display module","User-selected; interface HOLD","","240 x 280 ST7789V2 listing; module-specific circuit/drawing and BLK current behavior missing. Controller datasheet alone is not a module datasheet."
"GPIO","1","Microchip","MCP23017-E/SP","SPDIP-28 narrow 7.62 mm","Design baseline","datasheets/mcp23017.pdf","3.3 V I2C; GPA7 and GPB7 OUTPUT ONLY. Reserve these for enables, never buttons."
"CONTROLS","9","Adafruit","3101","4-lead THT elastomer switch","Design baseline; mechanical check","datasheets/soft-buttons.png","One 10-pack per kit. Listing height 4.9 mm conflicts with drawing 5.5 mm; sample before footprint/caps."
"AUDIO","1","UTC","TDA2822L-D08-T","DIP-8","Design baseline","datasheets/tda2822.pdf","Mono bridge candidate; PWM filtering and attenuation required. Socket, supply gating and output stability networks required."
"SPEAKER","1","FUET / Taizhou Fusheng","FS1511P08-H3.0 wired","15 x 11 mm wired speaker","HOLD drawing and power rating","","8 ohm seller listing; nominal power inconsistent (0.5/1 W). Supplier drawing not recovered; do not call final."
"HAPTIC","1","LEADER","LCM0827A3038F","8 mm coin motor with AWG32 leads","Design baseline; drive qualification","datasheets/motor.pdf","3.0 V nominal; 2.7-3.3 V operating. Body 2.7 mm plus adhesive/foam; 27 mm leads. Starting/stall qualification required."
"HAPTIC_REG","1","Microchip","MCP1700-3002E/TO","TO-92","Candidate; load/thermal check","datasheets/mcp1700.pdf","Dedicated 3.0 V motor rail; NOT the ESP32 regulator. Check dropout, real startup/stall current and input/output capacitors."
"IR_TX","1","Vishay","TSAL6200","5 mm radial LED","Design baseline","datasheets/tsal6200.pdf","940 nm emitter. Pulse current and eye-safety assessment required; transistor driver and current limiting."
"IR_RX","1","Vishay","TSOP38238","3-lead THT receiver","Design baseline","datasheets/tsop382.pdf","38 kHz demodulating receiver. Not a raw broadband receiver. Apply AGC burst/gap rules and rail filtering."
"NPN_DRIVER","TBD","onsemi","KSP2222ABU","TO-92","Design baseline; quantity/calculation pending","datasheets/ksp2222a.pdf","IR/motor low-side driver candidates. Calculate base current; do not use absolute maximum as operating rating."
"PNP_SWITCH","TBD","onsemi","BC32725BU","TO-92","Peripheral candidate only","datasheets/bc327.pdf","Audio and sensing power gating; not yet rated as whole-system battery switch. Verify different pin order from NPN."
"FLYBACK","1 minimum","Vishay","1N5819-E3/54","Axial DO-41","Design baseline; total TBD","datasheets/1n5819.pdf","Motor flyback. Any power-path use needs reverse leakage, dropout and current qualification."
"MCU_SOCKET","2","Sullins","PPTC091LFBN-RC","1 x 9 THT; 2.54 mm","Design baseline; SuperMini fit check","datasheets/sullins-female-headers.pdf","Replaces full-size 22-way sockets. Verify delivered header count, pitch, row spacing, tail engagement, underside clearance and antenna keepout."
