ID,Question,Status,Supplier response / file,Customer decision
DFM-01,"Confirm two separate jobs and quantities: 5 main bare, 5 power assembled; attrition separate",PENDING,,
DFM-02,"Confirm correct dimensions, drill/outline registration and two/four copper layers",PENDING,,
DFM-03,Approve actual finished copper/plating and four-layer stackup,PENDING,,
DFM-04,Approve filled capped planarized via-in-pad; evaluate full and partial pad overlaps,PENDING,,
DFM-05,Approve U13 TPS22950YBHR base variant WCSP and other fine-pitch packages,PENDING,,
DFM-06,"Approve finish, mask registration, paste apertures, stencil and panel tooling",PENDING,,
DFM-07,Confirm every actual manufacturer/orderable MPN and all sourcing proposals,PENDING,,
DFM-08,Approve each proposed substitution individually before purchasing,PENDING,,
DFM-09,"Validate native mm/Y-up origin, rotation and polarity against component drawings",PENDING,,
DFM-10,Confirm 104 SMT plus J1-J4 mixed/THT operations; no omitted connectors,PENDING,,
DFM-11,Confirm IPC-D-356 bare-board electrical test and retained reports,PENDING,,
DFM-12,Agree hidden-joint/X-ray inspection method and cost,PENDING,,
DFM-13,Agree any powered-test scope separately; no unspecified battery or firmware,PENDING,,
DFM-14,"Approve total cost, attrition, tooling, shipping/taxes and lead time",PENDING,,
DFM-15,Customer explicitly releases final approved files and quote in writing,PENDING,,
